run,k_shortages,timing_band,first_start_day,shortage_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
497,3,middle,41.5,B|B|C,3.76,1.483,1.2,118.656,117.456,117.421
498,3,middle,88.2,C|A|C,4.36,2.225,2.18,119.636,117.456,117.18
499,3,middle,76.9,A|A|B,4.56,0,0,119.956,117.456,117.456
500,3,middle,57.7,A|C|C,4.09,2.304,1.6,119.056,117.906,117.427
501,3,middle,60.7,B|A|C,4.85,0,0,119.306,117.456,117.456
502,3,middle,60.7,B|C|C,4.55,3.164,1.75,119.206,118.766,117.308
503,3,middle,44,C|B|A,5.03,1.483,1.24,118.766,117.456,117.305
504,3,middle,41.5,B|C|A,5.01,1.113,1.113,119.406,117.456,117.456
505,3,middle,49.9,C|A|C,3.73,2.312,1.358,119.026,119.026,117.329
506,3,middle,44,C|C|A,5.1,2.596,0.78,118.896,117.456,117.398
507,3,middle,38.5,A|C|A,7.44,1.113,1.113,119.316,117.456,117.456
508,3,middle,57.7,A|B|C,6.971,0.742,0.39,119.807,117.456,116.998
509,3,middle,59.9,A|B|C,2.72,1.4,1.4,119.276,118.856,118.856
510,3,middle,60.7,B|A|B,7.08,0,0,119.816,117.456,117.456
511,3,middle,90.2,C|A|C,3.86,2.895,1.93,119.386,118.126,117.199
512,3,middle,79.8,B|C|C,3.04,1.47,1.47,118.976,118.926,118.926
513,3,middle,79.8,B|B|C,3.74,1.45,1.45,119.326,118.906,118.906
514,3,middle,79.8,B|B|C,2.45,0,0,118.716,117.456,117.456
515,3,middle,38.5,A|C|C,12.338,0.97,0.97,121.605,118.426,118.426
516,3,middle,76.9,A|A|C,2.5,0.91,0.91,118.706,118.366,118.366
517,3,middle,40,A|B|A,6.502,0,0,119.238,117.456,117.456
518,3,middle,99,B|B|C,1.8,0,0,119.256,117.456,117.456
519,3,middle,79.8,B|B|C,3,0.99,0.99,118.956,118.446,118.446
520,3,middle,96.1,A|C|C,0.75,0.75,0.75,118.206,118.206,118.206
521,3,middle,60.7,B|B|C,4.4,0,0,119.256,117.456,117.456
522,3,middle,59.5,A|C|C,5.7,1.12,1.12,119.356,118.576,118.576
523,3,middle,84.3,C|A|C,6.41,4.586,2.581,121.407,119.446,117.578
524,3,middle,76.9,A|B|C,6.3,1.53,1.53,120.947,118.986,118.986
525,3,middle,78.7,A|A|C,4.44,0,0,119.676,117.456,117.456
526,3,middle,41.5,B|C|B,7.43,1.854,1.6,120.086,117.456,117.294
527,3,middle,34.6,C|A|B,4.29,0.371,0.371,118.746,117.456,117.456
528,3,middle,76.9,A|B|C,3.09,2.55,2.55,120.006,120.006,120.006
529,3,middle,63.2,C|C|A,3.69,1.483,1.23,118.686,117.456,117.295
530,3,middle,96.1,A|A|C,2,0,0,119.456,117.456,117.456
531,3,middle,38.5,A|B|C,6.56,0,0,119.256,117.456,117.456
532,3,middle,53.8,C|B|C,5.45,2.967,2.723,119.066,117.456,117.25
533,3,middle,57.7,A|B|A,5.21,0,0,119.616,117.456,117.456
534,3,middle,79.8,B|C|A,3.45,0,0,119.356,117.456,117.456
535,3,late,103.5,C|C|C,4.57,4.57,4.57,122.027,122.027,122.027
536,3,late,113.3,C|C|C,0.85,0.85,0.85,118.306,118.306,118.306
537,3,late,105.5,C|C|C,2.33,2.33,2.33,119.786,119.786,119.786
538,3,late,103.5,C|C|C,1.49,1.49,1.49,118.946,118.946,118.946
539,3,late,99,B|C|C,1.74,1.28,1.28,119.196,118.736,118.736
540,3,late,96.1,A|C|C,1.9,1.9,1.9,119.356,119.356,119.356
541,3,late,105.5,C|C|C,4.02,4.02,4.02,121.477,121.477,121.477
542,3,late,96.1,A|C|C,1.18,1.18,1.18,118.636,118.636,118.636
543,3,late,101.5,C|C|C,3.048,3.048,3.048,120.505,120.505,120.505
544,3,late,113.3,C|C|C,1.22,1.22,1.22,118.676,118.676,118.676
545,3,late,109.4,C|C|C,2.318,2.318,2.318,119.775,119.775,119.775
546,3,late,103.5,C|C|C,1.83,1.83,1.83,119.286,119.286,119.286
547,3,late,107.4,C|C|C,0.66,0.66,0.66,118.116,118.116,118.116
548,3,late,97.5,A|C|C,2.27,2.148,2.148,119.726,119.605,119.605
549,3,late,109.4,C|C|C,2.088,2.088,2.088,119.545,119.545,119.545
550,3,late,103.5,C|C|C,1.58,1.58,1.58,119.036,119.036,119.036
551,3,late,96.1,A|B|C,2.07,2.07,2.07,119.526,119.526,119.526
552,3,late,113.3,C|C|C,3.448,3.448,3.448,120.905,120.905,120.905
553,3,late,113.3,C|C|C,1.938,1.938,1.938,119.395,119.395,119.395
